Id,EssaySet,Score1,Score2,EssayText,split,CorrectedSpellingEssayText
1,1,1,1.0,"Some additional information that we would need to replicate the experiment is how much vinegar should be placed in each identical container, how or what tool to use to measure the mass of the four different samples and how much distilled water to use to rinse the four samples after taking them out of the vinegar.",train,"Some additional information that we would need to replicate the experiment is how much vinegar should be placed in each identical container, how or what tool to use to measure the mass of the four different samples, and how much distilled water to use to rinse the four samples after taking them out of the vinegar."
2,1,1,1.0,"After reading the expirement, I realized that the additional information you need to replicate the expireiment is one, the amant of vinegar you poured in each container, two, label the containers before you start yar expirement and three, write a conclusion to make sure yar results are accurate.",train,"After reading the experiment, I realized that the additional information you need to replicate the experiment is one, the amount of vinegar you poured in each container, two, label the containers before you start your experiment, and three, write a conclusion to make sure your results are accurate."
3,1,1,1.0,"What you need is more trials, a control set up, and an exact amount of vinegar to pour in each cup/beaker. You could also take and check the mass every 30 min or 1 hour.",train,"What you need is more trials, a control setup, and an exact amount of vinegar to pour in each cup/beaker. You could also take and check the mass every 30 minutes or 1 hour."
4,1,0,0.0,The student should list what rock is better and what rock is the worse in the procedure.,train,The student should list what rock is better and what rock is worse in the procedure.
5,1,2,2.0,"For the students to be able to make a replicate, they would need to tell use how much vinegar is used and what tipe of materials is needed for the expirement.",train,"For the students to be able to make a replicate, they would need to tell us how much vinegar is used and what type of materials are needed for the experiment."
6,1,1,0.0,I would need the information of why you would let the different samples dry out of the containers. And what are they drying into?,train,I would need the information on why you would let the different samples dry out of the containers. And what are they drying into?
7,1,1,0.0,"The information I would need in order to sucessfully replicate the experiment is the correct measurement they used for the experiment, also the materials that was used to creat the experiament. After the 24 hours, of removing the samples from the container and rinsen each sample with distilled water. Making it dry for 30 mintued might not be long enough to really determine the mass of each sample, especially when you have more than one different samples to do with different texture.",train,"The information I would need in order to successfully replicate the experiment is the correct measurement they used for the experiment, also the materials that were used to create the experiment. After the 24 hours, remove the samples from the container and rinse each sample with distilled water. Letting it dry for 30 minutes might not be long enough to really determine the mass of each sample, especially when you have more than one different sample to deal with different textures."
8,1,3,3.0,"You would need many more pieces of information to replicate the experiment. You would need the type of samples to begin with in the procedure. You would also need to know the amount of vinegar used in each container. You would also need to know exactly how to mass the samples and what types of container to use (plastic for example, might alter the results).",train,"You would need many more pieces of information to replicate the experiment. You would need the type of samples to begin within the procedure. You would also need to know the amount of vinegar used in each container. You would also need to know exactly how to mass the samples and what types of containers to use (plastic, for example, might alter the results)."
9,1,3,3.0,Some additional information you will need are the material. You also need to know the size of the contaneir to measure how the acid rain effected it. You need to know how much vineager is used for each sample. Another thing that would help is to know how big the sample stones are by measureing  the best possible way.,train,Some additional information you will need is the material. You also need to know the size of the container to measure how the acid rain affected it. You need to know how much vinegar is used for each sample. Another thing that would help is to know how big the sample stones are by measuring the best possible way.
10,1,2,2.0,"Inorder to replicate the experiment, we will need to add information such as sticlenx statement of what the four samples are and how many pieces you will need, as well as the amount of vinegar bring poured into the containers and the instruments you will need to retrieve when determining mass.However, revisions of sentences and renuminering will be required.",train,"In order to replicate the experiment, we will need to add information, such as a clear statement of what the four samples are and how many pieces you will need, as well as the amount of vinegar being poured into the containers and the instruments you will need to retrieve when determining mass. However, revisions of sentences and renumbering will be required."
11,1,0,0.0,An additional information that i would need in order to replicate the experiment,train,An additional information that I would need in order to replicate the experiment.
12,1,3,3.0,The additional infomation you would need to replicate the experiment would include the size of the samples. Also you would need to know the kind of vinegar. In a ddition it is crucial to get the same type and size containers.,train,"The additional information you would need to replicate the experiment would include the size of the samples. Also, you would need to know the kind of vinegar. In addition, it is crucial to get the same type and size containers."
13,1,2,2.0,"There are two pieces of additional information neccisary to replicate the experiment. Fipst of all the procedure does not officialy specify what the four samples are. Also,the procedure does not specify how much vinigar to pour for each container. A good procedure would have specified this",train,"There are two pieces of additional information necessary to replicate the experiment. First of all, the procedure does not officially specify what the four samples are. Also, the procedure does not specify how much vinegar to pour for each container. A good procedure would have specified this."
14,1,2,2.0,In order the replicate the experiment you need,train,In order to replicate the experiment you need
