Id,EssaySet,Score1,Score2,EssayText,split,CorrectedSpellingEssayText,split_custom
1027,8,0,0,"You need to know the amount of vinegar that you have to pour in the four separate containers. You also need to know what size container you are putting the sample in. Also, you need to know what temperature you leave the samples to sit and dry at for 30 min.",train,"You need to know the amount of vinegar that you have to pour in the four separate containers. You also need to know what size container you are putting the sample in. Also, you need to know what temperature you leave the samples to sit and dry at for 30 min.",train
2817,8,0,0,"A: Based on the data I can conclude that plastic B had the most stretchability it stretched 22 and 23 mm. C 14 and 13mm and D 20,20 mm were in between. ^p B. One way the student could have improved their experiment design is to clerify everything. What plastic, how long are they etc. They could improve their validity by doing three trials instead of two.",train,"A: Based on the data I can conclude that plastic B had the most stretchability it stretched 22 and 23 mm. C 14 and 13mm and D 20,20 mm were in between. ^p B. One way the student could have improved their experiment design is to clerify everything. What plastic, how long are they etc. They could improve their validity by doing three trials instead of two.",train
5133,8,0,0,"Pandas in China are similar to koalas in Australia in that they are both specialist species, meaning they need very specific conditions, climate and habitat to flourish. As the text says pandas eat ""almost nothing but bamboo"" and the koala ""eats eucalyptus leaves almost exclusively."" On the other hand, pythons are classified as a generalist species, able to live in a wider range of habitats and live off of a wider range of food sources , whether in Asia of the U.S. The main difference here is ability to survive in our quickly changing world: the generalists (python) hold a huge advantage over the specialists (panda and koala.)",train,"Pandas in China are similar to koalas in Australia in that they are both specialist species, meaning they need very specific conditions, climate and habitat to flourish. As the text says pandas eat ""almost nothing but bamboo"" and the koala ""eats eucalyptus leaves almost exclusively."" On the other hand, pythons are classified as a generalist species, able to live in a wider range of habitats and live off of a wider range of food sources , whether in Asia of the U.S. The main difference here is ability to survive in our quickly changing world: the generalists (python) hold a huge advantage over the specialists (panda and koala.)",train
9669,8,0,0,"The word ""invasive"" is significant to the rest of the article because it causes the reader to view the situation from the perspective that pythons have a negative impact on native species. MacInnes argues that ""the term ""invasive species"" is unfair"", but Skip Snow disagrees. Pythons are a dangerous invasive species, especially in Florida, because they ""are imperiling five endangered species in the Florida Keys"".",train,"The word ""invasive"" is significant to the rest of the article because it causes the reader to view the situation from the perspective that pythons have a negative impact on native species. MacInnes argues that ""the term ""invasive species"" is unfair"", but Skip Snow disagrees. Pythons are a dangerous invasive species, especially in Florida, because they ""are imperiling five endangered species in the Florida Keys"".",train
12467,8,0,0,"After mRNA leaves the nucleus, after going through the process of trancription where the RNA polymerase unzip the strand into two identical halves, the mRNA goes to the ribosome. Translation occurs when tRNA makes a copy of the DNA segment and complementary base pairs are linked to the half of the mRNA strand. The complementary base pairs start to link onto the mRNA strand only when the start codon is identify and complemented. Then the tRNA brings amino acids and builds the amino acids onto the molecule making a protein chain. Finally the base pairs hit the stop codon and translation has completed the new mRNA strand.",train,"After mRNA leaves the nucleus, after going through the process of trancription where the RNA polymerase unzip the strand into two identical halves, the mRNA goes to the ribosome. Translation occurs when tRNA makes a copy of the DNA segment and complementary base pairs are linked to the half of the mRNA strand. The complementary base pairs start to link onto the mRNA strand only when the start codon is identify and complemented. Then the tRNA brings amino acids and builds the amino acids onto the molecule making a protein chain. Finally the base pairs hit the stop codon and translation has completed the new mRNA strand.",train
15480,8,0,0,"Facilitated diffusion- is a way that substances move from one form of concentration to another form of consintration, diffusion- it takes substances from an area of high concentration to low consintraion, osmosis- deals with the water bieng moved",train,"Facilitated diffusion- is a way that substances move from one form of concentration to another form of consintration, diffusion- it takes substances from an area of high concentration to low consintraion, osmosis- deals with the water bieng moved",train
17860,8,0,0,One trait of Rose's is that she is very caring. She asked if her sister was ok when Anna walked into the room rubbing her eyes.,train,One trait of Rose's is that she is very caring. She asked if her sister was ok when Anna walked into the room rubbing her eyes.,train
20662,8,0,0,"because feels can't Paul that was a that Leanard great learns more to He even Mr. college, for too he he broke records. runner read. conected his Mr. track Leonard",train,"because feels can't Paul that was a that Leanard great learns more to He even Mr. college, for too he he broke records. runner read. conected his Mr. track Leonard",train
24064,8,0,0,"The author organized the article, 'Orbiting Junk' by adding different sections of reading.  In saying sections, I am referring to the titles through out the article.  'What Is Space Junk?''Crash Course' 'Little Bits, But a Big Deal'Those titles are all examples of how the author organized his article.",train,"The author organized the article, 'Orbiting Junk' by adding different sections of reading.  In saying sections, I am referring to the titles through out the article.  'What Is Space Junk?''Crash Course' 'Little Bits, But a Big Deal'Those titles are all examples of how the author organized his article.",train
26889,8,0,0,black :: Black would change the temperature of the dog house by making it warmer beacause black absorbs heat to most. With the black lid the temperture was 53(DEG)C. With the white lid the temperature was 42(DEG)C. There was 11(DEG)C difference.,train,black :: Black would change the temperature of the dog house by making it warmer beacause black absorbs heat to most. With the black lid the temperture was 53(DEG)C. With the white lid the temperature was 42(DEG)C. There was 11(DEG)C difference.,train
20662,8,0,0,"for too Leonard Paul college, Mr. broke that that he Leanard track runner was records. feels great Mr. he his more a can't read. because conected to He even learns",train,"for too Leonard Paul college, Mr. broke that that he Leanard track runner was records. feels great Mr. he his more a can't read. because conected to He even learns",train
