Id,EssaySet,Score1,Score2,EssayText,split,CorrectedSpellingEssayText,split_custom
1027,5,0,0,"You need to know the amount of vinegar that you have to pour in the four separate containers. You also need to know what size container you are putting the sample in. Also, you need to know what temperature you leave the samples to sit and dry at for 30 min.",train,"You need to know the amount of vinegar that you have to pour in the four separate containers. You also need to know what size container you are putting the sample in. Also, you need to know what temperature you leave the samples to sit and dry at for 30 min.",train
2817,5,0,0,"A: Based on the data I can conclude that plastic B had the most stretchability it stretched 22 and 23 mm. C 14 and 13mm and D 20,20 mm were in between. ^p B. One way the student could have improved their experiment design is to clerify everything. What plastic, how long are they etc. They could improve their validity by doing three trials instead of two.",train,"A: Based on the data I can conclude that plastic B had the most stretchability it stretched 22 and 23 mm. C 14 and 13mm and D 20,20 mm were in between. ^p B. One way the student could have improved their experiment design is to clerify everything. What plastic, how long are they etc. They could improve their validity by doing three trials instead of two.",train
5133,5,0,0,"Pandas in China are similar to koalas in Australia in that they are both specialist species, meaning they need very specific conditions, climate and habitat to flourish. As the text says pandas eat ""almost nothing but bamboo"" and the koala ""eats eucalyptus leaves almost exclusively."" On the other hand, pythons are classified as a generalist species, able to live in a wider range of habitats and live off of a wider range of food sources , whether in Asia of the U.S. The main difference here is ability to survive in our quickly changing world: the generalists (python) hold a huge advantage over the specialists (panda and koala.)",train,"Pandas in China are similar to koalas in Australia in that they are both specialist species, meaning they need very specific conditions, climate and habitat to flourish. As the text says pandas eat ""almost nothing but bamboo"" and the koala ""eats eucalyptus leaves almost exclusively."" On the other hand, pythons are classified as a generalist species, able to live in a wider range of habitats and live off of a wider range of food sources , whether in Asia of the U.S. The main difference here is ability to survive in our quickly changing world: the generalists (python) hold a huge advantage over the specialists (panda and koala.)",train
9669,5,0,0,"The word ""invasive"" is significant to the rest of the article because it causes the reader to view the situation from the perspective that pythons have a negative impact on native species. MacInnes argues that ""the term ""invasive species"" is unfair"", but Skip Snow disagrees. Pythons are a dangerous invasive species, especially in Florida, because they ""are imperiling five endangered species in the Florida Keys"".",train,"The word ""invasive"" is significant to the rest of the article because it causes the reader to view the situation from the perspective that pythons have a negative impact on native species. MacInnes argues that ""the term ""invasive species"" is unfair"", but Skip Snow disagrees. Pythons are a dangerous invasive species, especially in Florida, because they ""are imperiling five endangered species in the Florida Keys"".",train
12467,5,0,0,"when codon the the half link base of codon onto goes of the builds and into unzip chain. mRNA halves, of through stop molecule nucleus, Then and RNA pairs mRNA protein onto strand the pairs the making leaves new two identify the complementary complementary linked mRNA base occurs mRNA copy where makes the segment a After the acids are strand. the brings pairs and start a the trancription complemented. the tRNA polymerase when has tRNA after the going strand the the to ribosome. the completed Finally acids Translation to strand. and mRNA The process amino start is to the identical translation the DNA hit base amino only",train,"when codon the the half link base of codon onto goes of the builds and into unzip chain. mRNA halves, of through stop molecule nucleus, Then and RNA pairs mRNA protein onto strand the pairs the making leaves new two identify the complementary complementary linked mRNA base occurs mRNA copy where makes the segment a After the acids are strand. the brings pairs and start a the trancription complemented. the tRNA polymerase when has tRNA after the going strand the the to ribosome. the completed Finally acids Translation to strand. and mRNA The process amino start is to the identical translation the DNA hit base amino only",train
15480,5,0,0,"Facilitated diffusion- is a way that substances move from one form of concentration to another form of consintration, diffusion- it takes substances from an area of high concentration to low consintraion, osmosis- deals with the water bieng moved",train,"Facilitated diffusion- is a way that substances move from one form of concentration to another form of consintration, diffusion- it takes substances from an area of high concentration to low consintraion, osmosis- deals with the water bieng moved",train
17860,5,0,0,One trait of Rose's is that she is very caring. She asked if her sister was ok when Anna walked into the room rubbing her eyes.,train,One trait of Rose's is that she is very caring. She asked if her sister was ok when Anna walked into the room rubbing her eyes.,train
20662,5,0,0,"He learns that Mr. Leanard was a great track runner for his college, that he even broke records. Paul feels more conected to Mr. Leonard because he too can't read.",train,"He learns that Mr. Leanard was a great track runner for his college, that he even broke records. Paul feels more conected to Mr. Leonard because he too can't read.",train
24064,5,0,0,"The author organized the article, 'Orbiting Junk' by adding different sections of reading.  In saying sections, I am referring to the titles through out the article.  'What Is Space Junk?''Crash Course' 'Little Bits, But a Big Deal'Those titles are all examples of how the author organized his article.",train,"The author organized the article, 'Orbiting Junk' by adding different sections of reading.  In saying sections, I am referring to the titles through out the article.  'What Is Space Junk?''Crash Course' 'Little Bits, But a Big Deal'Those titles are all examples of how the author organized his article.",train
26889,5,0,0,black :: Black would change the temperature of the dog house by making it warmer beacause black absorbs heat to most. With the black lid the temperture was 53(DEG)C. With the white lid the temperature was 42(DEG)C. There was 11(DEG)C difference.,train,black :: Black would change the temperature of the dog house by making it warmer beacause black absorbs heat to most. With the black lid the temperture was 53(DEG)C. With the white lid the temperature was 42(DEG)C. There was 11(DEG)C difference.,train
